Year,CO2,CH4,NOx
1750,0.0,0.0,0.0
1751,0.0,0.0,0.0
1752,0.0,0.0,0.0
1753,0.0,0.0,0.0
1754,0.0,0.0,0.0
1755,0.0,0.0,0.0
1756,0.0,0.0,0.0
1757,0.0,0.0,0.0
1758,0.0,0.0,0.0
1759,0.0,0.0,0.0
1760,0.0,0.0,0.0
1761,0.0,0.0,0.0
1762,0.0,0.0,0.0
1763,0.0,0.0,0.0
1764,0.0,0.0,0.0
1765,11.0,0.0,0.0
1766,30.57375309999963,1.9632619,0.10950162
1767,50.14750766666667,2.4364481,0.16803826
1768,69.72125966666667,2.911105,0.2266252
1769,89.29501166666667,3.3872782,0.28526401
1770,108.86876733333297,3.8650146,0.34395628
1771,132.1091856333333,4.3443625,0.40270367
1772,151.68293763333335,4.8253718,0.46150789
1773,171.2566933,5.3080938,0.52037068
1774,190.8304453,5.7925816,0.57929387
1775,210.4041973,6.2788896,0.63827932
1776,229.97794929999998,6.7670743,0.69732895
1777,249.55170496666665,7.2571937,0.75644476
1778,269.12545696666626,7.7493076,0.81562878
1779,288.6992089666666,8.2434776,0.87488313
1780,308.272964633333,8.7397674,0.93420999
1781,331.5133833,9.2382426,0.99361159
1782,351.0871353,9.7389706,1.0530902
1783,370.6608909666666,10.242021,1.1126483
1784,390.2346429666666,10.747466,1.1722883
1785,409.80840963333293,11.25538,1.2320128
1786,429.38213963333334,11.765839,1.2918242
1787,448.9559062999996,12.278921,1.3517254
1788,468.5296729666667,12.794707,1.4117191
1789,488.10340296666664,13.313282,1.4718082
1790,507.6771696333333,13.834732,1.5319956
1791,530.9175663,14.359145,1.5922843
1792,550.4913329666667,14.886613,1.6526776
1793,570.0650996333333,15.417231,1.7131785
1794,589.6388296333333,15.951096,1.7737906
1795,609.2125962999996,16.488308,1.8345171
1796,628.7863629666666,17.028971,1.8953617
1797,652.0267596333333,17.573192,1.9563279
1798,671.6005263,18.121081,2.0174196
1799,691.1742562999996,18.672751,2.0786406
1800,714.4146896333333,19.228319,2.1399949
1801,733.9884562999999,19.787906,2.2014867
1802,760.8955196333333,20.351635,2.2631202
1803,776.8026196333333,20.919636,2.3248998
1804,796.3763862999999,21.49204,2.38683
1805,815.9501163,22.068984,2.4489154
1806,839.1905492666666,22.650607,2.511161
1807,858.7643163,23.237055,2.5735715
1808,878.3380463,23.828476,2.6361521
1809,897.9118129666666,24.425025,2.6989081
1810,917.4855429666667,25.02686,2.7618449
1811,940.7259766666666,25.634145,2.8249681
1812,960.2997433333333,26.247048,2.8882835
1813,979.8734733333334,26.865743,2.951797
1814,999.44724,27.490408,3.0155147
1815,1022.6876733333334,28.12123,3.0794429
1816,1045.92807,28.758398,3.1435882
1817,1069.1685033333333,29.402108,3.2079573
1818,1088.7422333333334,30.052563,3.272557
1819,1108.3159999999998,30.709971,3.3373946
1820,1127.8897666666667,31.374548,3.4024773
1821,1147.4634966666667,32.046514,3.4678129
1822,1170.70393,32.7261,3.533409
1823,1193.9443633333333,33.413539,3.5992737
1824,1213.5180933333331,34.109076,3.6654154
1825,1236.7585266666665,34.81296,3.7318426
1826,1256.3322933333334,35.52545,3.7985641
1827,1279.57269,36.246813,3.8655891
1828,1299.1464566666666,36.977321,3.9329269
1829,1318.7201866666667,37.717259,4.0005873
1830,1360.2939533333333,38.466917,4.0685801
1831,1376.2010533333332,39.226597,4.1369156
1832,1395.774783333333,39.996609,4.2056046
1833,1419.0152166666667,40.777271,4.2746578
1834,1438.5889833333333,41.568914,4.3440866
1835,1461.82938,42.371876,4.4139026
1836,1496.0698133333333,43.186509,4.4841177
1837,1515.6435433333334,44.013173,4.5547443
1838,1538.8839766666665,44.85224,4.6257951
1839,1562.12441,45.704093,4.6972833
1840,1589.0314696666667,46.569129,4.7692224
1841,1612.271903,47.447755,4.8416262
1842,1639.179003,48.34039,4.9145093
1843,1662.4193996666665,49.247469,4.9878863
1844,1689.3264996666665,50.169439,5.0617727
1845,1723.5669329999998,51.106759,5.1361841
1846,1743.140663,52.059904,5.2111367
1847,1773.7144296666665,53.029365,5.2866474
1848,1796.9548263333334,54.015644,5.3627334
1849,1827.5285929999998,55.019264,5.4394124
1850,1861.769026333333,56.040759,5.5167028
1851,1836.2141929999998,56.46132,5.5423239
1852,2037.2836696666666,56.88188,5.5679451
1853,2039.9664596666664,57.302441,5.5935662
1854,2070.995956333333,57.723001,5.6191873
1855,2070.4905796666667,58.143562,5.6448084
1856,2108.0945563333335,58.564122,5.6704295
1857,2131.183996333333,58.984683,5.6960507
1858,2153.1875896666666,59.405243,5.7216718
1859,2189.930926333333,59.825804,5.7472929
1860,2236.5452596666664,60.246364,5.772914
1861,2285.1531926666667,59.614468,5.8128366
1862,2092.6276359999997,58.982573,5.8527592
1863,2118.41344,58.350677,5.8926817
1864,2149.173583333333,57.718781,5.9326043
1865,2177.2496533333333,57.086885,5.9725268
1866,2188.6779933333332,56.45499,6.0124494
1867,2213.2228066666667,55.823094,6.052372
1868,2226.5272333333332,55.191198,6.0922945
1869,2246.8103166666665,54.559303,6.1322171
1870,2261.0298333333335,53.927407,6.1721397
1871,2360.10588,56.683869,6.217166
1872,2714.5558,59.440331,6.2621924
1873,2791.43205,62.196793,6.3072188
1874,2778.2756466666665,64.953255,6.3522452
1875,2854.2303899999997,67.709717,6.3972715
1876,2888.8860366666668,70.46618,6.4422979
1877,2922.8412766666665,73.222642,6.4873243
1878,2951.8525666666665,75.979104,6.5323507
1879,3026.2742399999997,78.735566,6.577377
1880,3143.2249566666665,81.492028,6.6224034
1881,3270.2007066666665,84.359461,6.6759474
1882,3155.76811,87.226893,6.7294913
1883,3228.5646066666664,90.094326,6.7830353
1884,3252.8017499999996,92.961758,6.8365793
1885,3271.5323666666663,95.829191,6.8901232
1886,3293.1951066666666,98.696624,6.9436672
